,13984
007.com/007-legends-released-today,1649
007.com/007-legends-skyfall-mission-revealed,110398
008soft.com/products/file-tree-printer.htm,7460
008soft.com/products/mp3-splitter.htm,6390
009soft.com/products/sound-effect.htm,7623
009soft.com/products/winaudio-recorder.htm,4081
03gle.itch.io/endling,187734
07th-expansion.net/hgn/main.htm,64864
07th-expansion.net/hi_main.htm,9700
07th-expansion.net/higan_gen,65719
07th-expansion.net/umi/main.htm,12198
0verflow.com/products/crossdays,92409
10-strike.com,7768
100villancicos.tipe.com,2777
123freesolitaire.com,7794
123watermark.com,862080
1378km.de,139389
1564-studio.itch.io/marine-express,151690
1clickfixerplus.com,7482
1ksoft.com/milleniumtest/index.html,7583
1limx.com,1382833
1password.com,28173
1st-multiformat-converter-cd-ripper.com,4408
1stclock.com,522
20minutos.es,7895
2112.nvsgames.com,215230
24caratlinks.com/one,7769
2bitent.itch.io/planetscore,112302
2brightsparks.com,5997
2brightsparks.com/download-syncbacktouch.html,1308448
2brightsparks.com/onclick/poc.html,5028
2dawn.com/ravaged,3268
2flyer.com,2436
2flyer.com/index.html,2002
2k.com/en-us/blog/bl3-directors-cut-out-now,271818
2k.com/en-us/game/bioshock,142228
2k.com/games/nba-2k14,5329
2k.com/games/nba-2k15,7614
2ksports.com/games/nba2k11,5056
2lplan.net,1230598
2organizemyphotos.com,1340954
2xko.riotgames.com,126460
321slideshow.com/products/open-video-joiner.htm,2845
321soft.com/flash-memory-recovery.html,28611
321soft.com/tiffstudio,987510
32cards.com,7666
360totalsecurity.com,27783
3b.net/browser/newhome.html,1957
3cx.com,5242
3d-savers.com/anti-smoking-screensaver.html,3715
3d-savers.com/free-3d-earth-screensaver.html,3592
3d-savers.com/free-b-boy-screensaver.html,3561
3dfahrschule.de/uk_index.htm,17116
3dgamer.tripod.com,8961
3di70r.itch.io/sonic-suggests,136822
3dkyle.itch.io/security-booth,159045
3dpchip.com,1319039
3dwonders.com/product.php?directory=cosmicscenes,4648
3m.com/us/office/postit/digital/organizer.html,5534
3nitysoftware.com,17434
3nitysoftwares.com/index.php/en/portfolio/dwg-dxf-converter,130081
3nitysoftwares.com/index.php/en/portfolio/finestock,778191
3planesoft.com/pages/the_one_ring.html,7043
3strakgames.itch.io/big-beautiful-cthulhu,166473
42tags.com,4822
46flare.net/catast/index.html,246652
46flare.net/sc,238913
4ddig.tenorshare.com/4ddig-partition-manager.html,1324496
4ddig.tenorshare.com/duplicate-file-deleter.html,1298943
4ddig.tenorshare.com/photo-repair.html,1298934
4ddig.tenorshare.com/windows-data-recovery.html,1288945
4kdownload.com/products/product-videodownloader,22844
4kdownload.com/products/slideshowmaker/3,1218369
4kdownload.com/products/tokkit/17,1222373
4kdownload.com/products/videotomp3/24,1218325
4kfinder.com,846165
4kfinder.com/music-converter,1306130
4leafstudios.itch.io/katawa-shoujo,9648
4shared.com/desktop,23789
4story.gameforge.com,27734
585soft.com,2266
585soft.com/lcleaner.asp,4435
5kplayer.com,200345
5kplayer.com/iphone-manager,741020
5pb.jp/games/chaoshead,11392
5pb.jp/games/kamaitachi,76095
5pb.jp/games/muvluv/te,11799
5pmusic.com/lyricsearch.asp,8445
5thcell.com/hybrid,21069
616games.itch.io/bloody-woman,252539
616games.itch.io/chicken-killer,229867
616games.itch.io/endless-days,240077
616games.itch.io/footage-1985,218187
616games.itch.io/gears,240078
616games.itch.io/legend-hunters,248830
616games.itch.io/mold-2-origin,240073
616games.itch.io/poop-killer,222320
616games.itch.io/poop-killer-2,229824
616games.itch.io/poop-killer-3,229825
616games.itch.io/poop-killer-4,229831
616games.itch.io/poop-killer-5,229832
616games.itch.io/poop-killer-6,230873
616games.itch.io/poop-killer-7,251979
616games.itch.io/poop-killer-origins,229833
616games.itch.io/sms,240075
616games.itch.io/the-house-of-rats,248829
616games.itch.io/truth-loop,218735
616games.itch.io/truth-loop-2,246120
616games.itch.io/we-are-not-alone,229866
616games.itch.io/xenomoon,216359
6502workshop.itch.io/nox-archaist,141465
7-zip.org,2232
7art-screensavers.com/wildflowers.shtml,6518
7cove.com,15039
7datarecovery.com,23531
7datarecovery.com/disk-partition-recovery-windows,23532
7k2.netmarble.com/es/pcclient,1031668
7kfans.com,22839
7thjojo.tumblr.com/private/97682235595/tumblr_nc0mtgqefh1taux36,128606
88domo.itch.io/hi-score-boi,134904
8bitgames.itch.io/rabenstein,231520
8start.com/download%20application%20launcher%203.htm,3915
8to32.com,6066
9bis.net/kitty/index.html#!index.md,1234617
9datarecovery.com,1202018
9datarecovery.com/9datarecovery/usb-drive-data-recovery.html,1202030
a-hand-in-the-darkness.tumblr.com,28800
a-pdf.com/text/download.htm,16380
a2xt2.codehaus.moe,287845
a6productions.itch.io/pulsechaser,112320
aaa.itch.io/utopias,132635
aaapdf.com,7851
aagh-games.itch.io/party-ball,60069
aaronbishopgames.com,2394
aarongiles.com/dreamm,1770834
aarynreese.itch.io/straight,215781
aavegotchi.com,195528
abaenglish.com,4364
abalorios.es,4477
abandoned-house.itch.io/blink-last-night,179722
abandonware-france.org/ltf_abandon/ltf_jeu.php?id=1653,213566
abbyhoward.itch.io/scarlet-hollow-chapter-1,139194
abbyy.com,7656
abbyy.com/scantooffice,3742
abcdatos.com/programas/programa/z9054.html,3362
abcmedia.tv/3gp-converter.htm,2082
abdallah-alwarawreh.itch.io/ballistic-showdown,259933
abductedtoad.weebly.com,135096
abelssoft.net/jetdrive.php,1716
ablebits.com,9043
ablephotoresizer.com/photoresizer.htm,25183
abogest.com,5984
aboutgolf.com,8678
absolutepatience.com/es,8765
abstract-machine.itch.io/feet-in-the-snow,234797
abulia.itch.io/solo,240562
abuse.zoy.org,586
abyssmedia.com/audioconverter,1943218
abyssmedia.com/audioretoucher,1887641
abyssmedia.com/heic-converter,1943263
abyssmedia.com/midirenderer,1943695
abyssmedia.com/mp3recorder,2005283
abyssmedia.com/tunexplorer,1887734
abyssmedia.com/videoconverter,1943251
abyssmedia.com/wavecut,1887713
academiascomputer.com,31753
